Hollandaca;Türkçe;sınav önceliği
de bon;fiş;Ik wil de bon.
het kassabonnetje;kasa fişi;Ik krijg een kassabonnetje.
het geld;para;Ik heb geld.
de euro;euro;Het kost vijf euro.
de cent;sent;Het kost vijftig cent.
de munt;madeni para;Ik heb een munt.
het briefje;banknot;Ik betaal met een briefje.
de pinpas;banka kartı;Ik betaal met mijn pinpas.
de bankpas;banka kartı;Ik gebruik mijn bankpas.
de creditcard;kredi kartı;Ik betaal met een creditcard.
contant;nakit;Ik betaal contant.
gratis;ücretsiz;Het is gratis.
duur;pahalı;De kaas is duur.
goedkoop;ucuz;De appels zijn goedkoop.
goedkoper;daha ucuz;Dit is goedkoper.
duurder;daha pahalı;Dit is duurder.
kopen;satın almak;Ik koop brood.
verkopen;satmak;De winkel verkoopt brood.
betalen;ödemek;Ik betaal met pin.
kosten;maliyeti olmak;Het kost vijf euro.
bestellen;sipariş vermek;Ik bestel een pizza.
kiezen;seçmek;Ik kies een salade.
zoeken;aramak;Ik zoek melk.
vinden;bulmak;Ik kan de kaas niet vinden.
halen;gidip almak / getirip almak;Ik haal brood.
meenemen;yanında götürmek / almak;Ik neem een tas mee.
brengen;getirmek / götürmek;Ik breng het eten.
krijgen;almak / elde etmek;Ik krijg een bon.
geven;vermek;Ik geef de kassière geld.
nemen;almak / seçmek;Ik neem een koffie.
terugbrengen;geri getirmek;Ik breng het product terug.
ruilen;değiştirmek;Ik wil dit ruilen.
teruggeven;geri vermek;Ik geef het terug.
passen;uymak / olmak;De schoenen passen.
proberen;denemek;Ik wil dit proberen.
bekijken;bakmak / incelemek;Ik bekijk het product.
proeven;tatmak;Ik wil de kaas proeven.
ruiken;koklamak / kokusu olmak;De kaas ruikt goed.
eten;yemek;Ik eet een appel.
drinken;içmek;Ik drink water.
koken;yemek pişirmek / kaynatmak;Ik kook pasta.
bakken;pişirmek / fırınlamak / kızartmak;Ik bak een cake.
braden;kızartmak / kavurmak;Ik bak het vlees.
grillen;ızgara yapmak;Ik grill de kip.
snijden;kesmek;Ik snijd de tomaat.
wassen;yıkamak;Ik was de groente.
schillen;soymak;Ik schil de aardappel.
mengen;karıştırmak;Ik meng de ingrediënten.
roeren;karıştırmak;Ik roer de soep.
toevoegen;eklemek;Ik voeg zout toe.
serveren;servis etmek;Ik serveer het eten.
opwarmen;ısıtmak;Ik warm het eten op.
afkoelen;soğumak / soğutmak;Het eten moet afkoelen.
lekker;lezzetli / güzel;De taart is lekker.
heerlijk;nefis / çok lezzetli;Het eten is heerlijk.
zoet;tatlı;De cake is zoet.
zout;tuzlu;De soep is zout.
zuur;ekşi;De citroen is zuur.
bitter;acı / buruk;De koffie is bitter.
pittig;baharatlı / acı;De saus is pittig.
vers;taze;Het brood is vers.
bevroren;dondurulmuş;De vis is bevroren.
warm;sıcak;De soep is warm.
koud;soğuk;Het water is koud.
heet;çok sıcak;De koffie is heet.
gezond;sağlıklı;Groente is gezond.
ongezond;sağlıksız;Veel suiker is ongezond.
vegetarisch;vejetaryen;Ik eet vegetarisch.
veganistisch;vegan;Ik eet veganistisch.
biologisch;organik;Ik koop biologische groente.
vet;yağlı;Het vlees is vet.
mager;yağsız / az yağlı;Ik koop mager vlees.
droog;kuru;Het brood is droog.
nat;ıslak;De tafel is nat.
zacht;yumuşak;Het brood is zacht.
hard;sert;Het brood is hard.
het restaurant;restoran;We eten in het restaurant.
het café;kafe;Ik ga naar het café.
het menu;menü;Ik bekijk het menu.
de menukaart;menü / yemek listesi;Mag ik de menukaart?
de ober;erkek garson;De ober komt.
de serveerster;kadın garson;De serveerster helpt ons.
de kok;aşçı;De kok maakt het eten.
de rekening;hesap;Ik wil de rekening.
de fooi;bahşiş;Ik geef een fooi.
het voorgerecht;başlangıç;Ik neem een voorgerecht.
het hoofdgerecht;ana yemek;Het hoofdgerecht is lekker.
het nagerecht;tatlı / son yemek;Ik wil een nagerecht.
de soep;çorba;Ik bestel soep.
de salade;salata;Ik neem een salade.
het bord;tabak;Het bord is schoon.
het glas;bardak;Ik wil een glas water.
het kopje;fincan;Ik wil een kopje koffie.
de beker;bardak / kupa;Ik drink uit een beker.
de vork;çatal;Ik heb een vork.
het mes;bıçak;Ik heb een mes.
de lepel;kaşık;Ik heb een lepel.
het servet;peçete;Ik heb een servet.
de tafel;masa;De tafel is vrij.
de stoel;sandalye;De stoel is vrij.
reserveren;rezervasyon yapmak;Ik wil een tafel reserveren.
rekening vragen;hesabı istemek;Ik wil de rekening vragen.
eten bestellen;yemek sipariş etmek;Ik wil eten bestellen.
drinken bestellen;içecek sipariş etmek;Ik wil drinken bestellen.
een kilo;bir kilo;Ik wil een kilo appels.
een halve kilo;yarım kilo;Ik wil een halve kilo kaas.
een pond;yarım kilo;Ik wil een pond gehakt.
een ons;100 gram;Ik wil een ons kaas.
een liter;bir litre;Ik koop een liter melk.
een halve liter;yarım litre;Ik wil een halve liter water.
een fles;bir şişe;Ik koop een fles water.
een pak;bir paket;Ik koop een pak melk.
een doos;bir kutu;Ik koop een doos eieren.
een blik;bir konserve kutusu;Ik koop een blik soep.
een zak;bir poşet / paket;Ik koop een zak chips.
een stuk;bir parça / adet;Ik wil een stuk taart.
een paar;bir çift / birkaç;Ik koop een paar appels.
een beetje;biraz;Ik wil een beetje suiker.
veel;çok / birçok;Ik drink veel water.
weinig;az;Ik eet weinig vlees.
genoeg;yeterince;Ik heb genoeg eten.
te veel;fazla / çok fazla;Ik eet te veel suiker.
te weinig;çok az;Ik drink te weinig water.
meer;daha fazla;Ik wil meer water.
minder;daha az;Ik wil minder suiker.
Hoeveel kost het?;Ne kadar?;Hoeveel kost het?
Wat kost dit?;Bu ne kadar?;Wat kost dit?
Hoeveel kost dat?;Şu ne kadar?;Hoeveel kost dat?
Ik wil graag...;... istiyorum / rica ederim;Ik wil graag koffie.
Ik wil...;... istiyorum;Ik wil een pizza.
Mag ik...?;... alabilir miyim?;Mag ik een glas water?
Kan ik...?;... yapabilir miyim?;Kan ik met pin betalen?
Heeft u...?;... var mı?;Heeft u melk?
Heb je...?;... var mı?;Heb je water?
Ik zoek...;... arıyorum;Ik zoek brood.
Ik neem...;... alıyorum / seçiyorum;Ik neem een salade.
Waar is...?;... nerede?;Waar is de kassa?
Zonder...;... olmadan / -siz;Ik wil koffie zonder suiker.
Met...;... ile / -li;Ik wil thee met melk.
Nog iets?;Başka bir şey?;Nog iets?
Dat is alles.;Hepsi bu.;Dat is alles.
De rekening, alstublieft.;Hesap lütfen.;De rekening, alstublieft.
Een tafel voor twee, alstublieft.;İki kişilik masa lütfen.;Een tafel voor twee, alstublieft.
Een tafel voor vier.;Dört kişilik masa.;Een tafel voor vier.
Ik heb gereserveerd.;Rezervasyon yaptım.;Ik heb gereserveerd.
Ik wil graag bestellen.;Sipariş vermek istiyorum.;Ik wil graag bestellen.
Wat raadt u aan?;Ne önerirsiniz?;Wat raadt u aan?
Wat wilt u drinken?;Ne içmek istersiniz?;Wat wilt u drinken?
Wat wilt u eten?;Ne yemek istersiniz?;Wat wilt u eten?
Smakelijk!;Afiyet olsun!;Smakelijk!
Proost!;Şerefe!;Proost!
Kan ik met pin betalen?;Kartla ödeyebilir miyim?;Kan ik met pin betalen?
Kan ik contant betalen?;Nakit ödeyebilir miyim?;Kan ik contant betalen?
